,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,tanout,14.9709,8.8879,60.8,18,17,12.62,NE,1642971529
138,college,64.8569,-147.8028,8.65,87,87,2.8,US,1642971529
139,port hardy,50.6996,-127.4199,37.58,93,100,4.61,CA,1642971530
140,hofn,64.2539,-15.2082,33.64,53,7,13.02,IS,1642971530
141,sorland,67.667,12.6934,46.47,88,100,54.74,NO,1642971530
142,kitale,1.0157,35.0062,58.28,57,98,2.24,KE,1642971531
143,touros,-5.1989,-35.4608,85.1,73,7,10.27,BR,1642971531
144,mahon,39.8885,4.2658,45.16,81,0,8.05,ES,1642971531
145,guane,22.2025,-84.0875,74.3,70,85,13.18,CU,1642971531
146,velingara,13.15,-14.1167,80.49,12,8,7.0,SN,1642971256
147,farafangana,-22.8167,47.8333,76.8,90,66,13.91,MG,1642971532
148,constitucion,-35.3333,-72.4167,67.1,65,0,20.98,CL,1642971532
149,laguna,38.421,-121.4238,68.43,65,0,3.0,US,1642971532
150,pangody,65.85,74.4859,-9.96,100,99,6.76,RU,1642971533
151,bengkulu,-3.8004,102.2655,74.98,90,70,3.6,ID,1642971533
152,norman wells,65.282,-126.8329,3.24,72,75,14.97,CA,1642971533
153,komsomolskiy,40.4272,71.7189,36.32,80,75,2.3,UZ,1642971534
154,xifeng,42.7372,124.7222,7.43,68,99,5.66,CN,1642971534
155,victoria,22.2855,114.1577,68.95,93,78,1.99,HK,1642971425
156,chanute,37.6792,-95.4572,56.71,53,26,6.06,US,1642971534
157,olinda,-8.0089,-34.8553,83.93,65,0,8.05,BR,1642971535
158,tres passos,-27.4556,-53.9319,96.53,28,65,3.6,BR,1642971535
159,amapa,1.0,-52.0,75.92,97,79,3.24,BR,1642971535
160,mehamn,71.0357,27.8492,41.18,70,0,33.38,NO,1642971536
161,hanmer springs,-42.5167,172.8167,56.37,93,100,2.04,NZ,1642971536
162,xiongyue,40.1774,122.1228,14.27,62,100,10.36,CN,1642971536
163,fairbanks,64.8378,-147.7164,17.31,87,0,0.0,US,1642971306
164,tuatapere,-46.1333,167.6833,55.81,63,71,1.92,NZ,1642971537
165,esperance,-33.8667,121.9,64.24,87,85,15.03,AU,1642971504
166,berlevag,70.8578,29.0864,41.0,70,0,37.98,NO,1642971537
167,ilulissat,69.2167,-51.1,3.49,82,100,5.59,GL,1642971537
168,kavaratti,10.5669,72.642,79.74,62,8,11.59,IN,1642971538
