,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,bluff,-46.6,168.3333,280.94,73,95,2.32,NZ,1626107463
156,georgetown,5.4112,100.3354,301.42,81,20,0.0,MY,1626107483
157,punta arenas,-53.15,-70.9167,276.16,87,75,13.89,CL,1626107407
158,esperance,-33.8667,121.9,287.06,78,4,10.13,AU,1626107492
159,ushuaia,-54.8,-68.3,273.96,86,90,4.12,AR,1626107472
160,cabedelo,-6.9811,-34.8339,301.52,77,36,7.78,BR,1626107493
161,jamestown,42.097,-79.2353,298.87,90,90,3.58,US,1626107238
162,mar del plata,-38.0023,-57.5575,289.31,61,0,1.34,AR,1626107351
163,pedernales,18.0384,-71.744,304.95,53,93,8.44,DO,1626107493
164,savalou,7.9281,1.9756,301.97,63,92,1.89,BJ,1626107493
165,ishigaki,24.3448,124.1572,302.15,76,16,5.47,JP,1626107494
166,norman wells,65.282,-126.8329,289.17,72,40,2.06,CA,1626107494
167,new norfolk,-42.7826,147.0587,284.22,81,100,0.89,AU,1626107473
168,rikitea,-23.1203,-134.9692,296.2,77,20,5.76,PF,1626107466
169,mataura,-46.1927,168.8643,277.44,97,100,0.86,NZ,1626107467
170,kyle,29.9984,-97.8715,304.16,72,20,6.69,US,1626107495
171,portland,45.5234,-122.6762,294.65,73,90,0.45,US,1626107495
172,punta arenas,-53.15,-70.9167,276.16,87,75,13.89,CL,1626107407
173,meadow lake,34.8014,-106.5436,300.18,54,0,3.37,US,1626107403
174,antofagasta,-23.65,-70.4,292.71,60,99,2.99,CL,1626107496
175,hilo,19.7297,-155.09,296.64,83,90,0.0,US,1626107416
176,forestville,38.8451,-76.875,307.25,70,20,3.09,US,1626107496
177,samarai,-10.6167,150.6667,298.84,85,33,4.52,PG,1626107472
178,castro,-24.7911,-50.0119,294.54,40,34,3.51,BR,1626107496
179,bredasdorp,-34.5322,20.0403,283.31,76,91,5.14,ZA,1626107488
180,college,64.8569,-147.8028,289.76,62,20,1.54,US,1626107497
181,margate,51.3813,1.3862,292.07,93,100,0.89,GB,1626107497
182,punta arenas,-53.15,-70.9167,276.16,87,75,13.89,CL,1626107407
183,poplar bluff,36.757,-90.3929,299.92,77,40,1.34,US,1626107479
184,tshikapa,-6.4167,20.8,298.97,17,72,1.1,CD,1626107498
185,cape town,-33.9258,18.4232,284.38,65,75,4.02,ZA,1626106807
186,asfi,32.2994,-9.2372,297.54,62,90,11.26,MA,1626107498
187,kitui,-1.367,38.0106,290.51,72,87,2.28,KE,1626107498
188,mahebourg,-20.4081,57.7,293.31,88,75,8.23,MU,1626107466
189,cape town,-33.9258,18.4232,284.38,65,75,4.02,ZA,1626106807
190,makaryev,57.8797,43.8069,296.99,58,87,2.75,RU,1626107499
